日期,主力净流入,小单净流入,中单净流入,大单净流入,超大单净流入,主力净流入占比,小单流入净占比,中单流入净占比,大单流入净占比,超大单流入净占比,收盘价,涨跌幅
2023-01-09,-182959056.0,-224316.0,183183376.0,249313424.0,-432272480.0,-3.22,-0.00,3.22,4.39,-7.60,1841.20,2.08
2023-01-10,47214080.0,-142593.0,-47071504.0,-35888608.0,83102688.0,1.12,-0.00,-1.12,-0.85,1.98,1854.45,0.72
2023-01-11,-274624704.0,-521123.0,275145808.0,-35030320.0,-239594384.0,-6.54,-0.01,6.55,-0.83,-5.70,1844.95,-0.51
2023-01-12,-432614080.0,-211477.0,432825552.0,-115197488.0,-317416592.0,-13.68,-0.01,13.69,-3.64,-10.04,1834.00,-0.59
2023-01-13,293366576.0,-465617.0,-292900976.0,248839744.0,44526832.0,4.91,-0.01,-4.91,4.17,0.75,1887.00,2.89
2023-01-16,-385387456.0,-260040.0,385647504.0,319715424.0,-705102880.0,-5.46,-0.00,5.46,4.53,-9.99,1912.90,1.37
2023-01-17,-412504400.0,-441406.0,412945792.0,-14718896.0,-397785504.0,-10.14,-0.01,10.15,-0.36,-9.78,1908.00,-0.26
2023-01-18,-236179440.0,-4531440.0,240710880.0,64966544.0,-301145984.0,-5.89,-0.11,6.00,1.62,-7.51,1893.00,-0.79
2023-01-19,-751962528.0,-133248.0,752095776.0,-572959312.0,-179003216.0,-17.08,-0.00,17.09,-13.02,-4.07,1880.21,-0.68
2023-01-20,-692306096.0,-89915.0,692396016.0,-307690576.0,-384615520.0,-14.40,-0.00,14.40,-6.40,-8.00,1860.01,-1.07
2023-01-30,-769521056.0,-159207.0,769680256.0,-352370080.0,-417150976.0,-11.32,-0.00,11.32,-5.18,-6.13,1888.00,1.50
2023-01-31,-1024592640.0,-143951.0,1024736592.0,-103090672.0,-921501968.0,-16.72,-0.00,16.72,-1.68,-15.04,1845.76,-2.24
2023-02-01,-345439552.0,-92335.0,345531872.0,-297782912.0,-47656640.0,-5.53,-0.00,5.53,-4.77,-0.76,1844.97,-0.04
2023-02-02,-365355856.0,-188022.0,365543872.0,-104156912.0,-261198944.0,-6.68,-0.00,6.69,-1.91,-4.78,1836.11,-0.48
2023-02-03,-130166832.0,-65435.0,130232272.0,-453086112.0,322919280.0,-2.06,-0.00,2.06,-7.16,5.11,1818.00,-0.99
2023-02-06,-258557568.0,-117384.0,258674960.0,-276108752.0,17551184.0,-3.40,-0.00,3.41,-3.64,0.23,1795.00,-1.27
2023-02-07,-131353088.0,-107937.0,131461024.0,36775440.0,-168128528.0,-3.00,-0.00,3.01,0.84,-3.84,1797.00,0.11
2023-02-08,-224255712.0,-117954.0,224373664.0,-36099792.0,-188155920.0,-7.52,-0.00,7.53,-1.21,-6.31,1784.00,-0.72
2023-02-09,537573328.0,-197602.0,-537375728.0,14180096.0,523393232.0,9.95,-0.00,-9.95,0.26,9.69,1818.00,1.91
2023-02-10,-16571648.0,-90285.0,16661936.0,-81444528.0,64872880.0,-0.51,-0.00,0.51,-2.50,1.99,1810.00,-0.44
2023-02-13,668313040.0,-384057.0,-667928976.0,-581932400.0,1250245440.0,9.47,-0.01,-9.46,-8.24,17.71,1856.35,2.56
2023-02-14,-310929584.0,-75886.0,311005488.0,1910736.0,-312840320.0,-8.63,-0.00,8.63,0.05,-8.69,1843.79,-0.68
2023-02-15,94586336.0,-341430.0,-94244880.0,42882048.0,51704288.0,2.82,-0.01,-2.81,1.28,1.54,1841.00,-0.15
2023-02-16,311355968.0,-430879.0,-310925088.0,93313344.0,218042624.0,5.02,-0.01,-5.02,1.51,3.52,1861.82,1.13
2023-02-17,-672925248.0,-115287.0,673040544.0,-414036912.0,-258888336.0,-13.79,-0.00,13.79,-8.48,-5.30,1820.78,-2.20
2023-02-20,681025888.0,-522736.0,-680503168.0,-201870208.0,882896096.0,12.41,-0.01,-12.40,-3.68,16.09,1875.00,2.98
2023-02-21,-92104512.0,-307311.0,92411824.0,218807424.0,-310911936.0,-2.64,-0.01,2.65,6.27,-8.90,1867.00,-0.43
2023-02-22,-285079584.0,-250878.0,285330464.0,-195547760.0,-89531824.0,-7.07,-0.01,7.08,-4.85,-2.22,1836.00,-1.66
2023-02-23,-511824032.0,-167252.0,511991296.0,-205341024.0,-306483008.0,-12.85,-0.00,12.85,-5.15,-7.69,1818.00,-0.98
2023-02-24,-125179440.0,-287875.0,125467296.0,-232670080.0,107490640.0,-2.83,-0.01,2.84,-5.27,2.43,1788.00,-1.65
2023-02-27,370055264.0,-200426.0,-369854848.0,47034688.0,323020576.0,9.30,-0.01,-9.30,1.18,8.12,1810.41,1.25
2023-02-28,-246930960.0,-180484.0,247111424.0,14880832.0,-261811792.0,-5.72,-0.00,5.73,0.34,-6.07,1813.74,0.18
2023-03-01,613205920.0,-599576.0,-612606352.0,466447952.0,146757968.0,13.70,-0.01,-13.69,10.42,3.28,1838.53,1.37
2023-03-02,-205496448.0,-219702.0,205716160.0,7563920.0,-213060368.0,-8.54,-0.01,8.55,0.31,-8.86,1828.00,-0.57
2023-03-03,-98016256.0,-259160.0,98275408.0,-19240912.0,-78775344.0,-3.33,-0.01,3.33,-0.65,-2.67,1818.04,-0.54
2023-03-06,-447784592.0,-326676.0,448111248.0,-331048976.0,-116735616.0,-12.00,-0.01,12.01,-8.88,-3.13,1807.14,-0.60
2023-03-07,-839271840.0,-79222.0,839351072.0,-381931728.0,-457340112.0,-20.46,-0.00,20.47,-9.31,-11.15,1788.30,-1.04
2023-03-08,-390601440.0,-160994.0,390762416.0,-135366736.0,-255234704.0,-9.68,-0.00,9.68,-3.35,-6.32,1770.42,-1.00
2023-03-09,-364478992.0,-139941.0,364618928.0,-370583904.0,6104912.0,-7.47,-0.00,7.47,-7.59,0.13,1770.02,-0.02
2023-03-10,-145139232.0,-179297.0,145318544.0,108225584.0,-253364816.0,-3.90,-0.00,3.90,2.91,-6.80,1750.00,-1.13
2023-03-13,242105632.0,-239797.0,-241865840.0,92757920.0,149347712.0,6.68,-0.01,-6.67,2.56,4.12,1762.00,0.69
2023-03-14,-113517232.0,-298540.0,113815776.0,-133776240.0,20259008.0,-2.72,-0.01,2.72,-3.20,0.48,1766.00,0.23
2023-03-15,-99015232.0,-93579.0,99108800.0,-164416384.0,65401152.0,-2.92,-0.00,2.92,-4.85,1.93,1750.92,-0.85
2023-03-16,183081376.0,-91255.0,-182990128.0,114228320.0,68853056.0,5.91,-0.00,-5.91,3.69,2.22,1751.99,0.06
