日期,主力净流入,小单净流入,中单净流入,大单净流入,超大单净流入,主力净流入占比,小单流入净占比,中单流入净占比,大单流入净占比,超大单流入净占比,收盘价,涨跌幅
2023-01-16,-453995344.0,342531408.0,111463920.0,-326948144.0,-127047200.0,-10.01,7.55,2.46,-7.21,-2.80,273.80,-1.72
2023-01-17,-503227584.0,357163184.0,146064416.0,-171541088.0,-331686496.0,-16.66,11.83,4.84,-5.68,-10.98,269.99,-1.39
2023-01-18,-136719664.0,135867792.0,851872.0,-16801216.0,-119918448.0,-5.90,5.87,0.04,-0.73,-5.18,269.00,-0.37
2023-01-19,127443376.0,-14370864.0,-113072528.0,30680736.0,96762640.0,5.83,-0.66,-5.17,1.40,4.43,270.50,0.56
2023-01-20,-171989920.0,139559552.0,32430352.0,-116784944.0,-55204976.0,-6.10,4.95,1.15,-4.14,-1.96,270.07,-0.16
2023-01-30,417486976.0,-89838768.0,-327648224.0,664720.0,416822256.0,5.21,-1.12,-4.09,0.01,5.20,281.99,4.41
2023-01-31,287384032.0,-164503408.0,-122880640.0,243720960.0,43663072.0,5.38,-3.08,-2.30,4.56,0.82,285.80,1.35
2023-02-01,979163536.0,-398698784.0,-580464752.0,209312464.0,769851072.0,12.02,-4.90,-7.13,2.57,9.45,304.33,6.48
2023-02-02,65059504.0,108262288.0,-173321776.0,153929200.0,-88869696.0,1.45,2.41,-3.86,3.43,-1.98,302.62,-0.56
2023-02-03,-178080944.0,327697504.0,-149616560.0,-108903232.0,-69177712.0,-3.94,7.25,-3.31,-2.41,-1.53,295.00,-2.52
2023-02-06,-219896640.0,229632992.0,-9736368.0,-140169648.0,-79726992.0,-7.57,7.90,-0.34,-4.82,-2.74,289.98,-1.70
2023-02-07,-242339920.0,236117040.0,6222880.0,-183228672.0,-59111248.0,-10.90,10.62,0.28,-8.24,-2.66,289.00,-0.34
2023-02-08,-346820304.0,316897472.0,29922848.0,16998576.0,-363818880.0,-13.07,11.94,1.13,0.64,-13.71,285.66,-1.16
2023-02-09,-146818352.0,174711552.0,-27893200.0,-74031664.0,-72786688.0,-5.64,6.71,-1.07,-2.85,-2.80,288.33,0.93
2023-02-10,-777467584.0,623476128.0,153991456.0,-146016592.0,-631450992.0,-21.25,17.04,4.21,-3.99,-17.26,281.86,-2.24
2023-02-13,-57767376.0,120404208.0,-62636816.0,-65245424.0,7478048.0,-2.20,4.58,-2.38,-2.48,0.28,282.32,0.16
2023-02-14,-286225056.0,228502048.0,57723008.0,-86391072.0,-199833984.0,-13.84,11.05,2.79,-4.18,-9.66,281.97,-0.12
2023-02-15,-312232720.0,335535696.0,-23302976.0,-52065424.0,-260167296.0,-12.25,13.16,-0.91,-2.04,-10.21,279.00,-1.05
2023-02-16,-344299552.0,328932896.0,15366640.0,-158286016.0,-186013536.0,-11.94,11.41,0.53,-5.49,-6.45,277.02,-0.71
2023-02-17,-521052400.0,448247200.0,72805200.0,-208843136.0,-312209264.0,-18.85,16.22,2.63,-7.55,-11.29,271.66,-1.93
2023-02-20,-279710112.0,335099168.0,-55389040.0,-119076064.0,-160634048.0,-7.94,9.51,-1.57,-3.38,-4.56,272.80,0.42
2023-02-21,-137064592.0,138983184.0,-1918576.0,-148299168.0,11234576.0,-4.40,4.46,-0.06,-4.76,0.36,274.75,0.71
2023-02-22,-315866080.0,305794240.0,10071840.0,-157489424.0,-158376656.0,-13.72,13.29,0.44,-6.84,-6.88,270.42,-1.58
2023-02-23,-81037904.0,293429424.0,-212391520.0,-77658880.0,-3379024.0,-3.00,10.85,-7.85,-2.87,-0.12,270.44,0.01
2023-02-24,-247110088.0,232426985.0,14683088.0,-23294224.0,-223815864.0,-13.80,12.98,0.82,-1.30,-12.50,267.58,-1.06
2023-02-27,-1052387280.0,927121648.0,125265648.0,-221555856.0,-830831424.0,-23.76,20.94,2.83,-5.00,-18.76,259.81,-2.90
2023-02-28,-384199168.0,368740912.0,15458272.0,-233301408.0,-150897760.0,-12.30,11.81,0.50,-7.47,-4.83,260.80,0.38
2023-03-01,189217312.0,-169280736.0,-19936576.0,81886112.0,107331200.0,5.00,-4.48,-0.53,2.17,2.84,265.50,1.80
2023-03-02,-389206960.0,247489504.0,141717472.0,-191966528.0,-197240432.0,-12.79,8.13,4.66,-6.31,-6.48,263.71,-0.67
